"Short_Date","Venue","Long_Date","Year"
"1965-12-18","The Big Beat Club, Palo Alto, CA","December 18, 1965",1965
"1966-01-07","Matrix, San Francisco, CA","January 7, 1966",1966
"1966-01-08","Fillmore Auditorium, San Francisco, CA","January 8, 1966",1966
"1966-01-13","Matrix, San Francisco, CA","January 13, 1966",1966
"1966-01-28","Matrix, San Francisco, CA","January 28, 1966",1966
"1966-02-06","Valley Unitarian Universalist Church, North Hills, CA","February 6, 1966",1966
"1966-02-12","Youth Opportunities Center, Compton, CA","February 12, 1966",1966
"1966-03-12","Danish Center, Los Angeles, CA","March 12, 1966",1966
"1966-03-19","Carthay Studios, Los Angeles, CA","March 19, 1966",1966
"1966-03-25","Trouper's Club, Los Angeles, CA","March 25, 1966",1966
"1966-04-22","Longshoreman's Hall, San Francisco, CA","April 22, 1966",1966
"1966-04-24","Longshoreman's Hall, San Francisco, CA","April 24, 1966",1966
"1966-05-07","Harmon Gym, UC Berkeley, Berkeley, CA","May 7, 1966",1966
"1966-05-19","Avalon Ballroom, San Francisco, CA","May 19, 1966",1966
"1966-05-29","California Hall, San Francisco, CA","May 29, 1966",1966
"1966-06-03","Fillmore Auditorium, San Francisco, CA","June 3, 1966",1966
"1966-07-03","Fillmore Auditorium, San Francisco, CA","July 3, 1966",1966
"1966-07-15","Fillmore Auditorium, San Francisco, CA","July 15, 1966",1966
"1966-07-16","Fillmore Auditorium, San Francisco, CA","July 16, 1966",1966
"1966-07-17","Fillmore Auditorium, San Francisco, CA","July 17, 1966",1966
"1966-07-29","P.N.E. Garden Auditorium, Vancouver, Canada","July 29, 1966",1966
"1966-07-30","P.N.E. Garden Auditorium, Vancouver, Canada","July 30, 1966",1966
"1966-07-31","P.N.E. Garden Auditorium, Vancouver, Canada","July 31, 1966",1966
"1966-09-11","Fillmore Auditorium, San Francisco, CA","September 11, 1966",1966
"1966-10-23","Las Lomas High School, Walnut Creek, CA","October 23, 1966",1966
"1966-10-31","California Hall, San Francisco, CA","October 31, 1966",1966
"1966-11-19","Fillmore Auditorium, San Francisco, CA","November 19, 1966",1966
"1966-11-29","Matrix, San Francisco, CA","November 29, 1966",1966
"1966-12-01","Matrix, San Francisco, CA","December 1, 1966",1966
"1966-12-23","Avalon Ballroom, San Francisco, CA","December 23, 1966",1966
"1966-12-24","Avalon Ballroom, San Francisco, CA","December 24, 1966",1966
"1966-12-28","Governor's Hall, Sacramento, CA","December 28, 1966",1966
"1967-01-14","Polo Field, Golden Gate Park, San Francisco, CA","January 14, 1967",1967
"1967-03-18","Winterland, San Francisco, CA","March 18, 1967",1967
"1967-04-09","Panhandle, Golden Gate Park, San Francisco, CA","April 9, 1967",1967
"1967-04-12","Fillmore Auditorium, San Francisco, CA","April 12, 1967",1967
"1967-04-28","Stockton Ballroom, Stockton, CA","April 28, 1967",1967
"1967-04-29","Earl Warren Showgrounds, Santa Barbara, CA","April 29, 1967",1967
"1967-05-12","Marigold Ballroom, Fresno, CA","May 12, 1967",1967
"1967-05-18","Awalt Pavilion, Awalt High School, Mountain View, CA","May 18, 1967",1967
"1967-05-29","Chardonnay Hall, Napa County Fairgrounds, Napa, CA","May 29, 1967",1967
"1967-06-01","Tompkins Square Park, New York, NY","June 1, 1967",1967
"1967-06-06","Café au Go-Go, New York, NY","June 6, 1967",1967
"1967-06-07","Café au Go-Go, New York, NY","June 7, 1967",1967
"1967-06-18","Monterey County Fairgrounds, Monterey, CA","June 18, 1967",1967
"1967-06-21","Polo Field, Golden Gate Park, San Francisco, CA","June 21, 1967",1967
"1967-06-28","Oakland Auditorium, Oakland, CA","June 28, 1967",1967
"1967-07-02","El Camino Park, Palo Alto, CA","July 2, 1967",1967
"1967-07-03","Fillmore Auditorium, San Francisco, CA","July 3, 1967",1967
"1967-07-18","Masonic Temple, Portland, OR","July 18, 1967",1967
"1967-07-22","Continental Ballroom, Santa Clara, CA","July 22, 1967",1967
"1967-07-23","Straight Theater, San Francisco, CA","July 23, 1967",1967
"1967-07-31","O'Keefe Centre, Toronto, Canada","July 31, 1967",1967
"1967-08-04","O'Keefe Centre, Toronto, Canada","August 4, 1967",1967
"1967-08-05_early","O'Keefe Centre, Toronto, Canada","August 5, 1967 (Early Show)",1967
"1967-08-05_late","O'Keefe Centre, Toronto, Canada","August 5, 1967 (Late Show)",1967
"1967-08-06","Youth Pavilion, Expo '67, Montreal, Canada","August 6, 1967",1967
"1967-08-06_01","Place Ville Marie, Montreal, Canada","August 6, 1967",1967
"1967-09-03","Dance Hall, Rio Nido, CA","September 3, 1967",1967
"1967-09-04","Dance Hall, Rio Nido, CA","September 4, 1967",1967
"1967-09-15","Hollywood Bowl, Hollywood, CA","September 15, 1967",1967
"1967-09-29","Straight Theater, San Francisco, CA","September 29, 1967",1967
"1967-09-30","Straight Theater, San Francisco, CA","September 30, 1967",1967
"1967-10-01","Greek Theatre, UC Berkeley, Berkeley, CA","October 1, 1967",1967
"1967-10-14","Continental Ballroom, Santa Clara, CA","October 14, 1967",1967
"1967-10-22","Winterland, San Francisco, CA","October 22, 1967",1967
"1967-10-31","Winterland, San Francisco, CA","October 31, 1967",1967
"1967-11-10","Shrine Exhibition Hall, Los Angeles, CA","November 10, 1967",1967
"1967-11-11","Shrine Exhibition Hall, Los Angeles, CA","November 11, 1967",1967
"1967-12-08","Psychedelic Supermarket, Boston, MA","December 8, 1967",1967
"1967-12-26","Village Theater, New York, NY","December 26, 1967",1967
"1967-12-27","Village Theater, New York, NY","December 27, 1967",1967
"1968-01-17","Carousel Ballroom, San Francisco, CA","January 17, 1968",1968
"1968-01-20","Eureka Municipal Auditorium, Eureka, CA","January 20, 1968",1968
"1968-01-26","Eagles Auditorium, Seattle, WA","January 26, 1968",1968
"1968-01-27","Eagles Auditorium, Seattle, WA","January 27, 1968",1968
"1968-01-30","EMU Ballroom, University of Oregon, Eugene, OR","January 30, 1968",1968
"1968-02-02","Crystal Ballroom, Portland, OR","February 2, 1968",1968
"1968-02-03","Crystal Ballroom, Portland, OR","February 3, 1968",1968
"1968-02-14","Carousel Ballroom, San Francisco, CA","February 14, 1968",1968
"1968-02-17","Selland Arena, Fresno, CA","February 17, 1968",1968
"1968-02-22","Kings Beach Bowl, Lake Tahoe, CA","February 22, 1968",1968
"1968-02-23","Kings Beach Bowl, Lake Tahoe, CA","February 23, 1968",1968
"1968-02-24","Kings Beach Bowl, Lake Tahoe, CA","February 24, 1968",1968
"1968-03-02","Clifford's Catering, Walnut Creek, CA","March 2, 1968",1968
"1968-03-03","Haight Street, San Francisco, CA","March 3, 1968",1968
"1968-03-08_early","Melodyland Theatre, Anaheim, CA","March 8, 1968 (Early Show)",1968
"1968-03-11","Sacramento Memorial Auditorium, Sacramento, CA","March 11, 1968",1968
"1968-03-16","Carousel Ballroom, San Francisco, CA","March 16, 1968",1968
"1968-03-17","Carousel Ballroom, San Francisco, CA","March 17, 1968",1968
"1968-03-20","Avalon Ballroom, San Francisco, CA","March 20, 1968",1968
"1968-03-29","Carousel Ballroom, San Francisco, CA","March 29, 1968",1968
"1968-03-30","Carousel Ballroom, San Francisco, CA","March 30, 1968",1968
"1968-03-31","Carousel Ballroom, San Francisco, CA","March 31, 1968",1968
"1968-04-03","Winterland, San Francisco, CA","April 3, 1968",1968
"1968-04-21","Thee Image, Miami, FL","April 21, 1968",1968
"1968-05-03","Ferris Booth Hall, Columbia University, New York, NY","May 3, 1968",1968
"1968-05-04","Pritchard Gym, S.U.N.Y., Stony Brook, NY","May 4, 1968",1968
"1968-05-05","Central Park, New York, NY","May 5, 1968",1968
"1968-05-09_late","Electric Circus, New York, NY","May 9, 1968 (Late Show)",1968
"1968-05-17","Shrine Exhibition Hall, Los Angeles, CA","May 17, 1968",1968
"1968-05-18","Santa Clara County Fairgrounds, San Jose, CA","May 18, 1968",1968
"1968-05-24","National Guard Armory, St. Louis, MO","May 24, 1968",1968
"1968-05-25","National Guard Armory, St. Louis, MO","May 25, 1968",1968
"1968-06-01","Carousel Ballroom, San Francisco, CA","June 1, 1968",1968
"1968-06-07","Carousel Ballroom, San Francisco, CA","June 7, 1968",1968
"1968-06-14_early","Fillmore East, New York, NY","June 14, 1968 (Early Show)",1968
"1968-06-14_late","Fillmore East, New York, NY","June 14, 1968 (Late Show)",1968
"1968-06-15_late","Fillmore East, New York, NY","June 15, 1968 (Late Show)",1968
"1968-06-19","Carousel Ballroom, San Francisco, CA","June 19, 1968",1968
"1968-08-04","Orange County Fairgrounds, Costa Mesa, CA","August 4, 1968",1968
"1968-08-20","Fillmore West, San Francisco, CA","August 20, 1968",1968
"1968-08-21","Fillmore West, San Francisco, CA","August 21, 1968",1968
"1968-08-22","Fillmore West, San Francisco, CA","August 22, 1968",1968
"1968-08-23","Shrine Exhibition Hall, Los Angeles, CA","August 23, 1968",1968
"1968-08-24","Shrine Exhibition Hall, Los Angeles, CA","August 24, 1968",1968
"1968-09-01","Fillmore West, San Francisco, CA","September 1, 1968",1968
"1968-09-02","Betty Nelson's Organic Raspberry Farm, Sultan, WA","September 2, 1968",1968
"1968-09-20","Berkeley Community Theater, Berkeley, CA","September 20, 1968",1968
"1968-09-22","Del Mar Fairgrounds, Del Mar, CA","September 22, 1968",1968
"1968-10-11","Avalon Ballroom, San Francisco, CA","October 11, 1968",1968
"1968-10-12","Avalon Ballroom, San Francisco, CA","October 12, 1968",1968
"1968-10-13","Avalon Ballroom, San Francisco, CA","October 13, 1968",1968
"1968-10-20","Greek Theatre, UC Berkeley, Berkeley, CA","October 20, 1968",1968
"1968-11-01","Silver Dollar Fairgrounds, Chico, CA","November 1, 1968",1968
"1968-11-10","Fillmore West, San Francisco, CA","November 10, 1968",1968
"1968-11-15","Gill Coliseum, Oregon State University, Corvallis, OR","November 15, 1968",1968
"1968-11-22","Veterans Memorial Hall, Columbus, OH","November 22, 1968",1968
"1968-11-27","Kinetic Playground, Chicago, IL","November 27, 1968",1968
"1968-11-28","Kinetic Playground, Chicago, IL","November 28, 1968",1968
"1968-11-29","Hyde Park Teen Center, Cincinnati, OH","November 29, 1968",1968
"1968-11-30_late","Hyde Park Teen Center, Cincinnati, OH","November 30, 1968 (Late Show)",1968
"1968-12-01","Grande Ballroom, Detroit, MI","December 1, 1968",1968
"1968-12-07","Knight's Hall, Bellarmine College, Louisville, KY","December 7, 1968",1968
"1968-12-13","The Bank, Torrance, CA","December 13, 1968",1968
"1968-12-20","Shrine Exhibition Hall, Los Angeles, CA","December 20, 1968",1968
"1968-12-21","Shrine Exhibition Hall, Los Angeles, CA","December 21, 1968",1968
"1968-12-28","Catacombs, Houston, TX","December 28, 1968",1968
"1968-12-29","Gulfstream Park Racetrack, Hallandale, FL","December 29, 1968",1968
"1968-12-31","Winterland, San Francisco, CA","December 31, 1968",1968
"1969-01-03","Fillmore West, San Francisco, CA","January 3, 1969",1969
"1969-01-05","Fillmore West, San Francisco, CA","January 5, 1969",1969
"1969-01-17","Robertson Gym, UC Santa Barbara, Goleta, CA","January 17, 1969",1969
"1969-01-24","Avalon Ballroom, San Francisco, CA","January 24, 1969",1969
"1969-01-25","Avalon Ballroom, San Francisco, CA","January 25, 1969",1969
"1969-01-26","Avalon Ballroom, San Francisco, CA","January 26, 1969",1969
"1969-02-02","Labor Temple, Minneapolis, MN","February 2, 1969",1969
"1969-02-04","The Music Box, Omaha, NE","February 4, 1969",1969
"1969-02-05","Soldiers & Sailors Memorial Hall, Kansas City, KS","February 5, 1969",1969
"1969-02-06","Kiel Auditorium, St. Louis, MO","February 6, 1969",1969
"1969-02-07_early","Stanley Theatre, Pittsburgh, PA","February 7, 1969 (Early Show)",1969
"1969-02-07_late","Stanley Theatre, Pittsburgh, PA","February 7, 1969 (Late Show)",1969
"1969-02-11_early","Fillmore East, New York, NY","February 11, 1969 (Early Show)",1969
