Short_Date,Venue,Long_Date,Year
1969-05-31,"MacArthur Court, U. of Oregon, Eugene, OR","May 31, 1969",1969
1978-01-22,"MacArthur Court, U. of Oregon, Eugene, OR","January 22, 1978",1978
1978-06-25,"Autzen Stadium, U. of Oregon, Eugene, OR","June 25, 1978",1978
1981-08-16,"MacArthur Court, U. of Oregon, Eugene, OR","August 16, 1981",1981
1987-07-19,"Autzen Stadium, U. of Oregon, Eugene, OR","July 19, 1987",1987
1988-08-28,"Autzen Stadium, U. of Oregon, Eugene, OR","August 28, 1988",1988
1990-06-23,"Autzen Stadium, U. of Oregon, Eugene, OR","June 23, 1990",1990
1990-06-24,"Autzen Stadium, U. of Oregon, Eugene, OR","June 24, 1990",1990
1993-08-21,"Autzen Stadium, U. of Oregon, Eugene, OR","August 21, 1993",1993
1993-08-22,"Autzen Stadium, U. of Oregon, Eugene, OR","August 22, 1993",1993
1994-06-17,"Autzen Stadium, U. of Oregon, Eugene, OR","June 17, 1994",1994
1994-06-18,"Autzen Stadium, U. of Oregon, Eugene, OR","June 18, 1994",1994
1994-06-19,"Autzen Stadium, U. of Oregon, Eugene, OR","June 19, 1994",1994
